YEAR,WEEK,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation
2017,1,-7.403004032258064,-7.61887160017169,62.53024193548387,0.052584227201944125,0.0464516129032258,95.4218206408483,2.461960905473524,244.94354838709677,2.9973790322580647,4.634475806451612,998.8084677419355,34.39717741935484
2017,2,-0.7609146341463414,-1.9788007489553328,72.15040650406505,0.14334947767028527,0.15040650406504066,82.23860166452369,4.492531292254948,199.90650406504065,3.5784552845528452,5.334959349593496,999.460975609756,23.95528455284553
2017,3,4.088977505112474,3.4229420877062546,88.7157464212679,0.3046926389176956,0.30650306748466255,98.38237006943706,11.074967844807595,168.96932515337423,2.446830265848671,3.57239263803681,987.9184049079754,22.096114519427402
2017,4,0.7577665995975855,-0.06400573085362676,76.2354124748491,0.03934151198160787,0.026579476861167003,105.52050877147843,5.620925825129772,243.41046277665995,3.172837022132797,4.798591549295775,985.6319919517102,16.52112676056338
2017,5,-1.4459118236472945,-3.488030114282619,53.591182364729455,0.009597573525429231,0.006092184368737475,109.61979394223883,1.8359842808740605,264.84769539078155,3.2685370741482966,5.081963927855711,996.0466933867735,51.68336673346693
2017,6,1.6557947686116699,0.21230935872440485,67.90543259557344,0.03616292348686713,0.1195774647887324,111.47774299188707,2.4395622987172283,225.69416498993965,3.458953722334004,5.185513078470825,990.4710261569415,51.16700201207244
2017,7,6.184848484848485,2.7701453240281033,52.204040404040406,0.008287179487179485,6.0606060606060605e-05,112.19344045333652,0.1805128205128205,215.32929292929293,2.986666666666667,4.477777777777778,989.39898989899,80.83232323232323
2017,8,7.607002053388091,6.047649191855811,73.57700205338809,0.18408912602759972,0.11669404517453798,116.5017466406021,4.072849630259724,199.11088295687884,3.4359342915811086,5.072689938398358,987.6340862422998,52.6611909650924
2017,9,3.98877800407332,2.1110154177744405,67.66395112016293,0.12965934150250077,0.29376782077393077,151.62276494028114,4.412151784745253,200.4928716904277,3.7272912423625253,5.571486761710794,997.6348268839104,58.07739307535642
2017,10,3.88118609406953,1.0744635133171803,48.45398773006135,0.041828559996193844,0.0701840490797546,160.64521487322133,1.2692837865242825,206.37423312883436,4.3891615541922295,6.550715746421268,998.1703476482618,96.13087934560328
2017,11,0.6906557377049181,-1.0939827959583057,65.15368852459017,0.057649240959810125,0.03510245901639344,136.44728991249656,7.570461541637735,191.41803278688525,3.7104508196721313,5.236680327868853,1000.7782786885246,82.94262295081967
2017,12,6.082520325203252,4.09467673248161,72.27032520325203,0.2372938443670151,0.2164430894308943,117.48351142082849,8.983739837398375,142.5487804878049,4.16869918699187,5.797154471544715,997.755081300813,80.0691056910569
2017,13,5.1702839756592285,4.4523965824574345,81.65111561866125,0.7435957956850452,0.4522920892494929,14.714855860839625,7.829614604462475,119.24543610547667,3.788235294117647,5.090060851926978,993.7026369168358,61.40567951318459
2017,14,8.932282828282828,6.0444406140919895,66.42020202020203,0.8328047446946528,0.5183838383838384,10.722454329224961,9.734964322120286,166.81616161616162,4.444848484848484,6.395959595959596,987.1541414141413,100.72929292929292
2017,15,13.024857723577236,10.10835891577454,68.80081300813008,0.13730975267422565,0.299369918699187,19.5983928139733,4.425497454829544,174.0040650406504,3.444105691056911,4.966869918699187,996.9908536585366,111.54471544715447
2017,16,11.847058823529412,9.154753787061415,64.81135902636917,0.0978069877987879,0.021176470588235293,51.17782819657574,1.5322108300400132,149.63488843813388,3.4225152129817444,4.810953346855984,995.9653144016228,142.16024340770792
2017,17,11.488548387096774,9.519241288863663,75.75,0.3379681093232622,0.567883064516129,48.96798598329981,9.826497134729722,122.50806451612904,3.9673387096774193,5.709475806451613,986.2951612903227,94.4274193548387
2017,18,8.299576612903227,6.464461814558951,70.42540322580645,0.14058873005503728,0.15461693548387095,15.34422367256063,5.451205498531039,161.8266129032258,4.15483870967742,6.072379032258064,988.6695564516128,125.27016129032258
2017,19,10.529594320486815,8.1433815600517,69.20689655172414,0.13837474243148457,0.24525354969574037,12.18157198901238,4.505720548642829,104.45841784989858,2.5365111561866125,3.5160243407707914,992.2752535496958,157.0425963488844
2017,20,17.38341463414634,13.769432224383594,68.36382113821138,0.16475086039203948,0.1644308943089431,6.688325020366763,3.3458526609805976,154.96747967479675,4.082723577235773,6.233130081300812,990.0835365853658,123.90040650406505
2017,21,14.04919191919192,12.422295511350724,79.61616161616162,0.26581818181818184,0.28214141414141414,20.2388670343517,9.309487513168495,161.97373737373738,2.8155555555555556,4.335555555555556,986.2036363636363,126.08282828282829
2017,22,20.636306122448982,14.038221469359765,47.67755102040816,8.366079350994694e-05,0.006285714285714286,36.027235737110125,0.6742229414724392,211.14081632653063,2.0946938775510207,3.3875510204081634,992.0722448979592,181.23265306122448
2017,23,20.156397515527953,15.617585440304868,60.7639751552795,0.007435858633573789,0.0044720496894409935,37.25505462756195,2.019030674651713,156.91925465838509,3.0209109730848858,4.777225672877847,991.324016563147,188.1262939958592
2017,24,24.18008230452675,19.97361585405892,67.0082304526749,0.12872433471814274,0.26251028806584364,52.25101268281594,7.316216971118932,194.37037037037038,2.477572016460905,4.030246913580247,987.79341563786,146.9238683127572
2017,25,21.098688524590163,17.083710101424277,63.442622950819676,0.11129373583270795,0.17200819672131146,79.00243979916286,10.204275137514603,214.9672131147541,2.341393442622951,3.873360655737705,990.3243852459016,147.42418032786884
